38;38;5.88;5.88;0.59;0.59;37162
38;38;5.88;5.88;0.59;0.59;37275
39;40;6.03;6.19;0.6;0.62;37390
37;38;5.72;5.88;0.57;0.59;37503
37;39;5.72;6.03;0.57;0.6;37616
37;38;5.72;5.88;0.57;0.59;37729
37;38;5.72;5.88;0.57;0.59;37842
38;39;5.88;6.03;0.59;0.6;37955
36;38;5.57;5.88;0.56;0.59;38068
38;39;5.88;6.03;0.59;0.6;38183
38;39;5.88;6.03;0.59;0.6;38296
36;37;5.57;5.72;0.56;0.57;38409
37;39;5.72;6.03;0.57;0.6;38522
38;38;5.88;5.88;0.59;0.59;38635
38;39;5.88;6.03;0.59;0.6;38748
37;37;5.72;5.72;0.57;0.57;38861
38;38;5.88;5.88;0.59;0.59;38974
38;39;5.88;6.03;0.59;0.6;39089
38;39;5.88;6.03;0.59;0.6;39204
37;38;5.72;5.88;0.57;0.59;39317
37;38;5.72;5.88;0.57;0.59;39430
37;37;5.72;5.72;0.57;0.57;39543
38;38;5.88;5.88;0.59;0.59;39656
38;39;5.88;6.03;0.59;0.6;39769
37;38;5.72;5.88;0.57;0.59;39882
37;37;5.72;5.72;0.57;0.57;39995
38;39;5.88;6.03;0.59;0.6;40108
38;39;5.88;6.03;0.59;0.6;40223
39;39;6.03;6.03;0.6;0.6;40336
50;31;7.73;4.8;0.77;0.48;40449
71;7;10.98;1.08;1.1;0.11;40562
85;1;13.15;0.15;1.31;0.02;40702
71;2;10.98;0.31;1.1;0.03;40815
71;0;10.98;0;1.1;0;40930
58;12;8.97;1.86;0.9;0.19;41043
46;33;7.12;5.11;0.71;0.51;41156
77;9;11.91;1.39;1.19;0.14;41277
44;31;6.81;4.8;0.68;0.48;41390
65;19;10.06;2.94;1.01;0.29;41503
58;17;8.97;2.63;0.9;0.26;41616
36;41;5.57;6.34;0.56;0.63;41729
50;31;7.73;4.8;0.77;0.48;41842
62;17;9.59;2.63;0.96;0.26;41955
47;33;7.27;5.11;0.73;0.51;42068
73;7;11.29;1.08;1.13;0.11;42181
62;38;9.59;5.88;0.96;0.59;42296
47;33;7.27;5.11;0.73;0.51;42409
71;5;10.98;0.77;1.1;0.08;42522
71;0;10.98;0;1.1;0;42637
45;31;6.96;4.8;0.7;0.48;42750
64;16;9.9;2.48;0.99;0.25;42863
69;4;10.67;0.62;1.07;0.06;42976
46;32;7.12;4.95;0.71;0.5;43089
47;27;7.27;4.18;0.73;0.42;43202
73;3;11.29;0.46;1.13;0.05;43317
59;13;9.13;2.01;0.91;0.2;43430
63;17;9.75;2.63;0.97;0.26;43543
69;3;10.67;0.46;1.07;0.05;43656
68;0;10.52;0;1.05;0;43769
44;31;6.81;4.8;0.68;0.48;43882
38;37;5.88;5.72;0.59;0.57;43995
37;37;5.72;5.72;0.57;0.57;44108
36;36;5.57;5.57;0.56;0.56;44221
38;39;5.88;6.03;0.59;0.6;44342
38;37;5.88;5.72;0.59;0.57;44457
36;36;5.57;5.57;0.56;0.56;44570
35;36;5.41;5.57;0.54;0.56;44683
36;37;5.57;5.72;0.56;0.57;44796
38;37;5.88;5.72;0.59;0.57;44909
36;36;5.57;5.57;0.56;0.56;45022
48;29;7.43;4.49;0.74;0.45;45135
62;18;9.59;2.78;0.96;0.28;45248
35;40;5.41;6.19;0.54;0.62;45363
