contdir;contesq;veldir;velesq;disdir;diseq;tmp
27;26;5.52;5.32;0.55;0.53;24080
27;26;5.52;5.32;0.55;0.53;24189
27;26;5.52;5.32;0.55;0.53;24298
26;26;5.32;5.32;0.53;0.53;24407
27;26;5.52;5.32;0.55;0.53;24516
26;26;5.32;5.32;0.53;0.53;24625
27;24;5.52;4.91;0.55;0.49;24734
27;27;5.52;5.52;0.55;0.55;24843
26;25;5.32;5.11;0.53;0.51;24952
29;27;5.93;5.52;0.59;0.55;25064
27;26;5.52;5.32;0.55;0.53;25173
27;26;5.52;5.32;0.55;0.53;25282
27;27;5.52;5.52;0.55;0.55;25391
28;27;5.73;5.52;0.57;0.55;25500
18;38;3.68;7.77;0.37;0.78;25611
21;31;4.3;6.34;0.43;0.63;25720
27;27;5.52;5.52;0.55;0.55;25829
26;26;5.32;5.32;0.53;0.53;25938
25;27;5.11;5.52;0.51;0.55;26047
26;27;5.32;5.52;0.53;0.55;26158
26;27;5.32;5.52;0.53;0.55;26267
27;28;5.52;5.73;0.55;0.57;26376
26;27;5.32;5.52;0.53;0.55;26485
28;28;5.73;5.73;0.57;0.57;26603
25;27;5.11;5.52;0.51;0.55;26712
26;26;5.32;5.32;0.53;0.53;26821
28;27;5.73;5.52;0.57;0.55;26930
25;26;5.11;5.32;0.51;0.53;27039
28;27;5.73;5.52;0.57;0.55;27151
27;27;5.52;5.52;0.55;0.55;27262
27;27;5.52;5.52;0.55;0.55;27371
27;27;5.52;5.52;0.55;0.55;27480
26;26;5.32;5.32;0.53;0.53;27589
25;27;5.11;5.52;0.51;0.55;27698
26;26;5.32;5.32;0.53;0.53;27807
26;26;5.32;5.32;0.53;0.53;27916
25;27;5.11;5.52;0.51;0.55;28025
26;26;5.32;5.32;0.53;0.53;28134
28;27;5.73;5.52;0.57;0.55;28245
26;26;5.32;5.32;0.53;0.53;28354
26;26;5.32;5.32;0.53;0.53;28463
25;27;5.11;5.52;0.51;0.55;28572
27;27;5.52;5.52;0.55;0.55;28681
24;29;4.91;5.93;0.49;0.59;28790
18;37;3.68;7.57;0.37;0.76;28899
23;32;4.71;6.55;0.47;0.65;29010
26;27;5.32;5.52;0.53;0.55;29119
28;27;5.73;5.52;0.57;0.55;29231
26;27;5.32;5.52;0.53;0.55;29340
28;26;5.73;5.32;0.57;0.53;29449
25;27;5.11;5.52;0.51;0.55;29558
27;27;5.52;5.52;0.55;0.55;29667
26;26;5.32;5.32;0.53;0.53;29776
25;26;5.11;5.32;0.51;0.53;29885
25;26;5.11;5.32;0.51;0.53;29994
25;26;5.11;5.32;0.51;0.53;30103
25;26;5.11;5.32;0.51;0.53;30212
26;28;5.32;5.73;0.53;0.57;30323
26;26;5.32;5.32;0.53;0.53;30432
26;27;5.32;5.52;0.53;0.55;30541
25;27;5.11;5.52;0.51;0.55;30652
27;27;5.52;5.52;0.55;0.55;30761
26;25;5.32;5.11;0.53;0.51;30870
26;26;5.32;5.32;0.53;0.53;30979
29;29;5.93;5.93;0.59;0.59;31097
29;26;5.93;5.32;0.59;0.53;31206
27;27;5.52;5.52;0.55;0.55;31318
28;27;5.73;5.52;0.57;0.55;31427
25;26;5.11;5.32;0.51;0.53;31536
26;26;5.32;5.32;0.53;0.53;31645
27;26;5.52;5.32;0.55;0.53;31754
26;26;5.32;5.32;0.53;0.53;31863
26;26;5.32;5.32;0.53;0.53;31972
25;26;5.11;5.32;0.51;0.53;32081
26;25;5.32;5.11;0.53;0.51;32190
25;26;5.11;5.32;0.51;0.53;32299
27;26;5.52;5.32;0.55;0.53;32412
26;26;5.32;5.32;0.53;0.53;32521
27;27;5.52;5.52;0.55;0.55;32630
25;26;5.11;5.32;0.51;0.53;32739
27;26;5.52;5.32;0.55;0.53;32848
26;26;5.32;5.32;0.53;0.53;32957
26;27;5.32;5.52;0.53;0.55;33066
26;27;5.32;5.52;0.53;0.55;33175
26;26;5.32;5.32;0.53;0.53;33284
27;26;5.52;5.32;0.55;0.53;33396
26;26;5.32;5.32;0.53;0.53;33505
27;26;5.52;5.32;0.55;0.53;33614
27;26;5.52;5.32;0.55;0.53;33723
27;26;5.52;5.32;0.55;0.53;33832
25;25;5.11;5.11;0.51;0.51;33941
27;26;5.52;5.32;0.55;0.53;34052
26;26;5.32;5.32;0.53;0.53;34161
32;22;6.55;4.5;0.65;0.45;34270
33;19;6.75;3.89;0.68;0.39;34379
27;25;5.52;5.11;0.55;0.51;34490
25;26;5.11;5.32;0.51;0.53;34599
27;26;5.52;5.32;0.55;0.53;34708
28;25;5.73;5.11;0.57;0.51;34817
26;26;5.32;5.32;0.53;0.53;34926
29;24;5.93;4.91;0.59;0.49;35035
37;16;7.57;3.27;0.76;0.33;35144
37;16;7.57;3.27;0.76;0.33;35253
31;22;6.34;4.5;0.63;0.45;35362
27;28;5.52;5.73;0.55;0.57;35474
25;26;5.11;5.32;0.51;0.53;35583
28;28;5.73;5.73;0.57;0.57;35701
26;26;5.32;5.32;0.53;0.53;35812
27;25;5.52;5.11;0.55;0.51;35921
26;25;5.32;5.11;0.53;0.51;36030
25;25;5.11;5.11;0.51;0.51;36139
25;24;5.11;4.91;0.51;0.49;36248
27;25;5.52;5.11;0.55;0.51;36357
25;25;5.11;5.11;0.51;0.51;36466
26;25;5.32;5.11;0.53;0.51;36577
27;27;5.52;5.52;0.55;0.55;36686
27;25;5.52;5.11;0.55;0.51;36795
30;26;6.14;5.32;0.61;0.53;36904
26;25;5.32;5.11;0.53;0.51;37013
27;25;5.52;5.11;0.55;0.51;37122
27;25;5.52;5.11;0.55;0.51;37231
