timestamp,anchor_id,range,sigma
3.0,1,8.3284,0.03
3.0,2,13.7375,0.03
3.0,3,11.6353,0.03
3.02,0,3.8861,0.03
3.02,1,8.3623,0.03
3.02,2,13.7514,0.03
3.02,3,11.6193,0.03
3.04,0,3.8805,0.03
3.04,1,8.2831,0.03
3.04,2,13.7123,0.03
3.04,3,11.6242,0.03
3.06,0,3.9102,0.03
3.06,1,8.288,0.03
3.06,2,13.7417,0.03
3.06,3,11.6231,0.03
3.08,0,3.9216,0.03
3.08,1,8.2405,0.03
3.08,2,13.7086,0.03
3.08,3,11.664,0.03
3.1,0,3.9401,0.03
3.1,1,8.2559,0.03
3.1,2,13.7191,0.03
3.1,3,11.636,0.03
3.12,0,3.9338,0.03
3.12,1,8.2198,0.03
3.12,2,13.7,0.03
3.12,3,11.6643,0.03
3.14,0,3.9814,0.03
3.14,1,8.2047,0.03
3.14,2,13.6704,0.03
3.14,3,11.6034,0.03
3.16,0,3.9774,0.03
3.16,1,8.1652,0.03
3.16,2,13.6757,0.03
3.16,3,11.6504,0.03
3.18,0,3.9797,0.03
3.18,1,8.1811,0.03
3.18,2,13.6648,0.03
3.18,3,11.697,0.03
3.2,0,4.0134,0.03
3.2,1,8.15,0.03
3.2,2,13.6548,0.03
3.2,3,11.6604,0.03
3.22,0,4.0615,0.03
3.22,1,8.1171,0.03
3.22,2,13.669,0.03
3.22,3,11.7078,0.03
3.24,0,4.0623,0.03
3.24,1,8.1222,0.03
3.24,2,13.6338,0.03
3.24,3,11.6861,0.03
3.26,0,4.0775,0.03
3.26,1,8.1156,0.03
3.26,2,13.616,0.03
3.26,3,11.6876,0.03
3.28,0,4.0837,0.03
3.28,1,8.0851,0.03
3.28,2,13.6112,0.03
3.28,3,11.6858,0.03
3.3,0,4.1288,0.03
3.3,1,8.0944,0.03
3.3,2,13.597,0.03
3.3,3,11.6759,0.03
3.32,0,4.1297,0.03
3.32,1,8.0451,0.03
3.32,2,13.5578,0.03
3.32,3,11.7111,0.03
3.34,0,4.1473,0.03
3.34,1,8.0537,0.03
3.34,2,13.5702,0.03
3.34,3,11.7306,0.03
3.36,0,4.153,0.03
3.36,1,8.0178,0.03
3.36,2,13.5371,0.03
3.36,3,11.7027,0.03
3.38,0,4.2046,0.03
3.38,1,7.9737,0.03
3.38,2,13.5817,0.03
3.38,3,11.7022,0.03
3.4,0,4.2304,0.03
3.4,1,7.9564,0.03
3.4,2,13.5272,0.03
3.4,3,11.7064,0.03
3.42,0,4.2421,0.03
3.42,1,7.945,0.03
3.42,2,13.5324,0.03
3.42,3,11.7852,0.03
3.44,0,4.2809,0.03
3.44,1,7.925,0.03
3.44,2,13.5367,0.03
3.44,3,11.7292,0.03
3.46,0,4.2666,0.03
3.46,1,7.9038,0.03
3.46,2,13.5116,0.03
3.46,3,11.7383,0.03
3.48,0,4.2791,0.03
3.48,1,7.917,0.03
3.48,2,13.5632,0.03
3.48,3,11.7454,0.03
3.5,0,4.2884,0.03
3.5,1,7.8707,0.03
3.5,2,13.4743,0.03
3.5,3,11.7728,0.03
3.52,0,4.3207,0.03
3.52,1,7.8378,0.03
3.52,2,13.4829,0.03
3.52,3,11.7902,0.03
3.54,0,4.3406,0.03
3.54,1,7.8733,0.03
3.54,2,13.4702,0.03
3.54,3,11.8028,0.03
3.56,0,4.3398,0.03
3.56,1,7.8523,0.03
3.56,2,13.4592,0.03
3.56,3,11.7937,0.03
3.58,0,4.3953,0.03
3.58,1,7.8015,0.03
3.58,2,13.4672,0.03
3.58,3,11.7715,0.03
3.6,0,4.4026,0.03
3.6,1,7.7562,0.03
3.6,2,13.3925,0.03
3.6,3,11.8062,0.03
3.62,0,4.4076,0.03
3.62,1,7.7876,0.03
3.62,2,13.3903,0.03
3.62,3,11.7932,0.03
3.64,0,4.4217,0.03
3.64,1,7.7808,0.03
3.64,2,13.4194,0.03
3.64,3,11.7747,0.03
3.66,0,4.4644,0.03
3.66,1,7.7601,0.03
3.66,2,13.4087,0.03
3.66,3,11.8547,0.03
3.68,0,4.4293,0.03
3.68,1,7.7271,0.03
3.68,2,13.4511,0.03
3.68,3,11.8652,0.03
3.7,0,4.4628,0.03
3.7,1,7.7013,0.03
3.7,2,13.3694,0.03
3.7,3,11.7887,0.03
3.72,0,4.4796,0.03
3.72,1,7.668,0.03
3.72,2,13.3681,0.03
3.72,3,11.8512,0.03
3.74,0,4.4769,0.03
3.74,1,7.6686,0.03
3.74,2,13.3571,0.03
3.74,3,11.8624,0.03
3.76,0,4.565,0.03
3.76,1,7.6784,0.03
3.76,2,13.3486,0.03
3.76,3,11.8677,0.03
3.78,0,4.5531,0.03
3.78,1,7.6253,0.03
3.78,2,13.3277,0.03
3.78,3,11.8567,0.03
3.8,0,4.5704,0.03
3.8,1,7.5924,0.03
3.8,2,13.3112,0.03
3.8,3,11.8561,0.03
3.82,0,4.5857,0.03
3.82,1,7.5598,0.03
3.82,2,13.3055,0.03
3.82,3,11.8462,0.03
3.84,0,4.6047,0.03
3.84,1,7.5806,0.03
3.84,2,13.3252,0.03
3.84,3,11.8586,0.03
3.86,0,4.6243,0.03
3.86,1,7.559,0.03
3.86,2,13.3512,0.03
3.86,3,11.8958,0.03
3.88,0,4.6543,0.03
3.88,1,7.5224,0.03
3.88,2,13.2784,0.03
3.88,3,11.8792,0.03
3.9,0,4.6306,0.03
3.9,1,7.5036,0.03
