timestamp,anchor_id,range_front,sigma_front,range_rear,sigma_rear
3.5,5,2.817096,0.02,3.413231,0.02
3.5,6,3.89488,0.02,4.446901,0.02
3.5,7,7.378047,0.02,7.753765,0.02
3.6,0,3.577425,0.02,2.958531,0.02
3.6,1,4.459972,0.02,4.13442,0.02
3.6,2,7.70179,0.02,7.595487,0.02
3.6,3,1.153332,0.02,0.977178,0.02
3.6,4,6.919177,0.02,7.040679,0.02
3.6,5,2.834106,0.02,3.37033,0.02
3.6,6,3.913615,0.02,4.41907,0.02
3.6,7,7.360578,0.02,7.750724,0.02
3.7,0,3.603811,0.02,2.961639,0.02
3.7,1,4.512417,0.02,4.140836,0.02
3.7,2,7.69444,0.02,7.564965,0.02
3.7,3,1.179824,0.02,0.969766,0.02
3.7,4,6.914878,0.02,7.077673,0.02
3.7,5,2.819806,0.02,3.38251,0.02
3.7,6,3.886461,0.02,4.449815,0.02
3.7,7,7.368796,0.02,7.706739,0.02
3.8,0,3.56625,0.02,2.929345,0.02
3.8,1,4.49394,0.02,4.119402,0.02
3.8,2,7.689387,0.02,7.567517,0.02
3.8,3,1.188717,0.02,0.949047,0.02
3.8,4,6.92337,0.02,7.085682,0.02
3.8,5,2.790299,0.02,3.365301,0.02
3.8,6,3.87428,0.02,4.452864,0.02
3.8,7,7.371209,0.02,7.757773,0.02
3.9,0,3.555248,0.02,2.96077,0.02
3.9,1,4.493273,0.02,4.1002,0.02
3.9,2,7.68286,0.02,7.62266,0.02
3.9,3,1.195199,0.02,0.933588,0.02
3.9,4,6.906571,0.02,7.042814,0.02
3.9,5,2.829831,0.02,3.350897,0.02
3.9,6,3.889742,0.02,4.450176,0.02
3.9,7,7.367511,0.02,7.767005,0.02
4.0,0,3.593932,0.02,2.906338,0.02
4.0,1,4.471513,0.02,4.122787,0.02
4.0,2,7.681185,0.02,7.561854,0.02
4.0,3,1.157255,0.02,0.963258,0.02
4.0,4,6.881604,0.02,7.039336,0.02
4.0,5,2.799984,0.02,3.359118,0.02
4.0,6,3.865362,0.02,4.445086,0.02
4.0,7,7.361107,0.02,7.743006,0.02
4.1,0,3.631045,0.02,2.92658,0.02
4.1,1,4.491609,0.02,4.121724,0.02
4.1,2,7.684545,0.02,7.562559,0.02
4.1,3,1.138127,0.02,0.946513,0.02
4.1,4,6.905316,0.02,7.047501,0.02
4.1,5,2.775526,0.02,3.357667,0.02
4.1,6,3.854755,0.02,4.414482,0.02
4.1,7,7.336736,0.02,7.748584,0.02
4.2,0,3.594619,0.02,2.945081,0.02
4.2,1,4.498776,0.02,4.145797,0.02
4.2,2,7.725394,0.02,7.54593,0.02
4.2,3,1.158356,0.02,0.956757,0.02
4.2,4,6.897507,0.02,7.038502,0.02
4.2,5,2.771031,0.02,3.343742,0.02
4.2,6,3.886307,0.02,4.441786,0.02
4.2,7,7.341069,0.02,7.7334,0.02
4.3,0,3.607852,0.02,2.974994,0.02
4.3,1,4.446521,0.02,4.150406,0.02
4.3,2,7.657981,0.02,7.615331,0.02
4.3,3,1.180038,0.02,0.994966,0.02
4.3,4,6.928657,0.02,7.061184,0.02
4.3,5,2.779571,0.02,3.340414,0.02
4.3,6,3.840215,0.02,4.468229,0.02
4.3,7,7.373234,0.02,7.724599,0.02
4.4,0,3.60812,0.02,2.965273,0.02
4.4,1,4.460924,0.02,4.155688,0.02
4.4,2,7.692295,0.02,7.615074,0.02
4.4,3,1.187753,0.02,0.960866,0.02
4.4,4,6.913208,0.02,7.077414,0.02
4.4,5,2.783227,0.02,3.34967,0.02
4.4,6,3.873683,0.02,4.465112,0.02
4.4,7,7.385173,0.02,7.735104,0.02
4.5,0,3.589516,0.02,2.945097,0.02
4.5,1,4.50067,0.02,4.141762,0.02
4.5,2,7.725569,0.02,7.583562,0.02
4.5,3,1.199516,0.02,0.988681,0.02
4.5,4,6.915578,0.02,7.069903,0.02
4.5,5,2.823457,0.02,3.352236,0.02
4.5,6,3.868181,0.02,4.408086,0.02
4.5,7,7.328629,0.02,7.722155,0.02
4.6,0,3.61303,0.02,2.984636,0.02
4.6,1,4.51652,0.02,4.126441,0.02
4.6,2,7.710617,0.02,7.589634,0.02
4.6,3,1.220789,0.02,0.96913,0.02
4.6,4,6.930732,0.02,7.065797,0.02
4.6,5,2.760151,0.02,3.322581,0.02
4.6,6,3.885051,0.02,4.423663,0.02
4.6,7,7.349765,0.02,7.770946,0.02
4.7,0,3.591516,0.02,3.013598,0.02
4.7,1,4.483885,0.02,4.118203,0.02
4.7,2,7.70758,0.02,7.578377,0.02
4.7,3,1.2028,0.02,0.961947,0.02
4.7,4,6.895908,0.02,7.032657,0.02
4.7,5,2.787308,0.02,3.330224,0.02
4.7,6,3.861765,0.02,4.419613,0.02
4.7,7,7.358217,0.02,7.748902,0.02
4.8,0,3.582943,0.02,2.969825,0.02
4.8,1,4.473368,0.02,4.163607,0.02
4.8,2,7.705004,0.02,7.551948,0.02
4.8,3,1.199888,0.02,1.02208,0.02
4.8,4,6.913622,0.02,7.031207,0.02
4.8,5,2.808702,0.02,3.333463,0.02
4.8,6,3.891676,0.02,4.411701,0.02
4.8,7,7.361153,0.02,7.776677,0.02
4.9,0,3.604936,0.02,2.943533,0.02
4.9,1,4.518252,0.02,4.154077,0.02
4.9,2,7.699801,0.02,7.610192,0.02
4.9,3,1.163061,0.02,0.971325,0.02
4.9,4,6.887218,0.02,7.064203,0.02
4.9,5,2.794476,0.02,3.297651,0.02
4.9,6,3.885565,0.02,4.425765,0.02
4.9,7,7.379562,0.02,7.75388,0.02
5.0,0,3.611423,0.02,2.974209,0.02
5.0,1,4.453305,0.02,4.183975,0.02
5.0,2,7.719403,0.02,7.56566,0.02
5.0,3,1.213893,0.02,0.987772,0.02
5.0,4,6.916158,0.02,7.052676,0.02
5.0,5,2.789054,0.02,3.298487,0.02
5.0,6,3.861232,0.02,4.399002,0.02
5.0,7,7.360272,0.02,7.699123,0.02
5.1,0,3.592695,0.02,3.000703,0.02
5.1,1,4.514578,0.02,4.165327,0.02
5.1,2,7.720677,0.02,7.563718,0.02
5.1,3,1.157923,0.02,0.966665,0.02
5.1,4,6.893796,0.02,7.053176,0.02
5.1,5,2.767318,0.02,3.320426,0.02
5.1,6,3.869023,0.02,4.410538,0.02
5.1,7,7.338726,0.02,7.731436,0.02
5.2,0,3.623581,0.02,2.951973,0.02
5.2,1,4.506238,0.02,4.148776,0.02
5.2,2,7.720209,0.02,7.572821,0.02
5.2,3,1.164426,0.02,0.965529,0.02
5.2,4,6.864294,0.02,7.059394,0.02
5.2,5,2.801077,0.02,3.270387,0.02
5.2,6,3.873849,0.02,4.40707,0.02
5.2,7,7.348762,0.02,7.739028,0.02
5.3,0,3.61159,0.02,2.948827,0.02
5.3,1,4.490908,0.02,4.182756,0.02
5.3,2,7.712218,0.02,7.595385,0.02
5.3,3,1.211309,0.02,0.980457,0.02
5.3,4,6.881426,0.02,7.048639,0.02
5.3,5,2.809783,0.02,3.343486,0.02
5.3,6,3.855074,0.02,4.366293,0.02
5.3,7,7.356751,0.02,7.674786,0.02
5.4,0,3.620311,0.02,2.961817,0.02
5.4,1,4.507506,0.02,4.129831,0.02
5.4,2,7.731502,0.02,7.590332,0.02
5.4,3,1.223297,0.02,0.961185,0.02
5.4,4,6.908005,0.02,7.046115,0.02
5.4,5,2.799911,0.02,3.315276,0.02
5.4,6,3.890791,0.02,4.402613,0.02
5.4,7,7.376544,0.02,7.736017,0.02
5.5,0,3.6362,0.02,2.959364,0.02
5.5,1,4.494763,0.02,4.12561,0.02
5.5,2,7.67706,0.02,7.635032,0.02
5.5,3,1.13714,0.02,1.004937,0.02
5.5,4,6.911545,0.02,7.025536,0.02
5.5,5,2.789585,0.02,3.324595,0.02
5.5,6,3.809917,0.02,4.407178,0.02
5.5,7,7.333452,0.02,7.688119,0.02
5.6,0,3.652098,0.02,2.974614,0.02
5.6,1,4.503074,0.02,4.126882,0.02
5.6,2,7.701251,0.02,7.589692,0.02
5.6,3,1.170455,0.02,1.002825,0.02
5.6,4,6.902275,0.02,7.020221,0.02
5.6,5,2.791691,0.02,3.282717,0.02
5.6,6,3.812555,0.02,4.425801,0.02
5.6,7,7.349425,0.02,7.726023,0.02
5.7,0,3.657483,0.02,2.977701,0.02
5.7,1,4.496628,0.02,4.125892,0.02
5.7,2,7.681533,0.02,7.573342,0.02
5.7,3,1.181925,0.02,1.005435,0.02
5.7,4,6.943723,0.02,7.036249,0.02
5.7,5,2.756983,0.02,3.318054,0.02
5.7,6,3.841764,0.02,4.40813,0.02
5.7,7,7.334858,0.02,7.694696,0.02
5.8,0,3.683512,0.02,2.98987,0.02
5.8,1,4.51638,0.02,4.187327,0.02
